Question,A,B,C,D,ANSWER
Q : What is the maximum possible length of an identifier?,16,32,64,None of these above,D
Q : Who developed the Python language?,Zim Den,Guido van Rossum,Niene Stom,Wick van Rossum,B
Q : In which year was the Python language developed?,1995,1972,1981,1989,D
Q : In which language is Python written?,English,PHP,C,All of the above,C
Q : Which one of the following is the correct extension of the Python file?,.py,.python,.p,None of these,A
Q : In which year was the Python 3.0 version developed?,2008,2000,2010,2005,A
Q : What do we use to define a block of code in Python language?,Key,Brackets,Indentation,None of these,C
Q : Which character is used in Python to make a single line comment?, /, //,#, !,C
Q : Which of the following statements is correct regarding the object-oriented programming concept in Python?,Classes are real-world entities while objects are not real,Objects are real-world entities while classes are not real,Both objects and classes are real-world entities,All of the above,B
Q : What is the method inside the class in python language?,Object,Function,Attribute,Argument,B
